"id","year","state_name","state_code","district_name","district_code","development_sector","project_outlay_amount_in_lakhs","amount_spent_in_lakhs"
137,"2014-01-01","Delhi","7","New Delhi","79","Health Care",4.0,2.0
138,"2014-01-01","Delhi","7","New Delhi","79","Sanitation",10.0,10.0
139,"2014-01-01","Delhi","7","North West","82","Sanitation",4625.0,4834.0
140,"2014-01-01","Delhi","7","Not Mentioned","0","Animal Welfare",5.0,5.0
141,"2014-01-01","Delhi","7","Not Mentioned","0","Armed Forces, Veterans, War Widows/ Dependants",25.0,25.0
142,"2014-01-01","Delhi","7","Not Mentioned","0","Art And Culture",88.0,157.0
143,"2014-01-01","Delhi","7","Not Mentioned","0","Conservation Of Natural Resources",2.0,2.0
144,"2014-01-01","Delhi","7","Not Mentioned","0","Education",3049.0,1369.0
145,"2014-01-01","Delhi","7","Not Mentioned","0","Environmental Sustainability",204.0,102.0
146,"2014-01-01","Delhi","7","Not Mentioned","0","Gender Equality",31.0,31.0
147,"2014-01-01","Delhi","7","Not Mentioned","0","Health Care",2264.0,1561.0
148,"2014-01-01","Delhi","7","Not Mentioned","0","Livelihood Enhancement Projects",200.0,200.0
149,"2014-01-01","Delhi","7","Not Mentioned","0","Not Mentioned",0.0,99.0
150,"2014-01-01","Delhi","7","Not Mentioned","0","Poverty, Eradicating Hunger, Malnutrition",57.0,20.0
151,"2014-01-01","Delhi","7","Not Mentioned","0","Rural Development Projects",502.0,486.0
152,"2014-01-01","Delhi","7","Not Mentioned","0","Sanitation",379.0,373.0
153,"2014-01-01","Delhi","7","Not Mentioned","0","Senior Citizens Welfare",7.0,7.0
154,"2014-01-01","Delhi","7","Not Mentioned","0","Slum Area Development",7.0,7.0
155,"2014-01-01","Delhi","7","Not Mentioned","0","Socio-Economic Inequalities",4.0,3.0
156,"2014-01-01","Delhi","7","Not Mentioned","0","Special Education",74.0,73.0
157,"2014-01-01","Delhi","7","Not Mentioned","0","Technology Incubators",20.0,20.0
158,"2014-01-01","Delhi","7","Not Mentioned","0","Training To Promote Sports",86.0,86.0
159,"2014-01-01","Delhi","7","Not Mentioned","0","Vocational Skills",283.0,255.0
160,"2014-01-01","Delhi","7","Not Mentioned","0","Women Empowerment",62.0,62.0
161,"2014-01-01","Delhi","7","South","83","Education",3.0,3.0
162,"2014-01-01","Delhi","7","South","83","Health Care",150.0,150.0
163,"2014-01-01","Delhi","7","South East","670","Livelihood Enhancement Projects",5.0,5.0
164,"2014-01-01","Goa","30","Not Mentioned","0","Education",52.0,52.0
165,"2014-01-01","Goa","30","Not Mentioned","0","Environmental Sustainability",2.0,2.0
166,"2014-01-01","Goa","30","Not Mentioned","0","Health Care",141.0,141.0
167,"2014-01-01","Goa","30","Not Mentioned","0","Sanitation",2.0,2.0
168,"2014-01-01","Goa","30","Not Mentioned","0","Socio-Economic Inequalities",30.0,30.0
169,"2014-01-01","Gujarat","24","Banaskantha","441","Education",100.0,100.0
170,"2014-01-01","Gujarat","24","Bharuch","442","Education",219.0,228.0
171,"2014-01-01","Gujarat","24","Bharuch","442","Health Care",207.0,206.0
172,"2014-01-01","Gujarat","24","Bharuch","442","Livelihood Enhancement Projects",3.0,2.0
173,"2014-01-01","Gujarat","24","Bharuch","442","Rural Development Projects",1.0,1.0
174,"2014-01-01","Gujarat","24","Bhavnagar","443","Animal Welfare",1.0,1.0
175,"2014-01-01","Gujarat","24","Bhavnagar","443","Conservation Of Natural Resources",26.0,20.0
176,"2014-01-01","Gujarat","24","Bhavnagar","443","Health Care",12.0,12.0
177,"2014-01-01","Gujarat","24","Bhavnagar","443","Rural Development Projects",5.0,0.0
178,"2014-01-01","Gujarat","24","Bhavnagar","443","Sanitation",35.0,14.0
179,"2014-01-01","Gujarat","24","Dang","444","Livelihood Enhancement Projects",3.0,4.0
180,"2014-01-01","Gujarat","24","Gandhinagar","446","Animal Welfare",0.0,3.0
181,"2014-01-01","Gujarat","24","Gandhinagar","446","Art And Culture",2.0,2.0
182,"2014-01-01","Gujarat","24","Gandhinagar","446","Education",5.0,30.0
183,"2014-01-01","Gujarat","24","Gandhinagar","446","Health Care",63.0,45.0
184,"2014-01-01","Gujarat","24","Gandhinagar","446","Poverty, Eradicating Hunger, Malnutrition",0.0,1.0
185,"2014-01-01","Gujarat","24","Gandhinagar","446","Technology Incubators",6.0,6.0
186,"2014-01-01","Gujarat","24","Kachchh","449","Animal Welfare",21.0,5.0
187,"2014-01-01","Gujarat","24","Kachchh","449","Conservation Of Natural Resources",12.0,5.0
188,"2014-01-01","Gujarat","24","Kachchh","449","Health Care",6.0,6.0
189,"2014-01-01","Gujarat","24","Kachchh","449","Livelihood Enhancement Projects",100.0,100.0
190,"2014-01-01","Gujarat","24","Kachchh","449","Rural Development Projects",14.0,6.0
191,"2014-01-01","Gujarat","24","Kachchh","449","Safe Drinking Water",8.0,6.0
192,"2014-01-01","Gujarat","24","Kachchh","449","Sanitation",34.0,22.0
193,"2014-01-01","Gujarat","24","Kachchh","449","Senior Citizens Welfare",43.0,43.0
194,"2014-01-01","Gujarat","24","Mehsana","451","Education",48.0,44.0
195,"2014-01-01","Gujarat","24","Mehsana","451","Women Empowerment",20.0,20.0
196,"2014-01-01","Gujarat","24","Navsari","453","Education",5.0,5.0
197,"2014-01-01","Gujarat","24","Not Mentioned","0","Art And Culture",25.0,23.0
198,"2014-01-01","Gujarat","24","Not Mentioned","0","Education",1946.0,3351.0
199,"2014-01-01","Gujarat","24","Not Mentioned","0","Environmental Sustainability",295.0,295.0
200,"2014-01-01","Gujarat","24","Not Mentioned","0","Health Care",1007.0,2699.0
201,"2014-01-01","Gujarat","24","Not Mentioned","0","Livelihood Enhancement Projects",80.0,94.0
202,"2014-01-01","Gujarat","24","Not Mentioned","0","Poverty, Eradicating Hunger, Malnutrition",82.0,81.0
203,"2014-01-01","Gujarat","24","Not Mentioned","0","Rural Development Projects",607.0,345.0
204,"2014-01-01","Gujarat","24","Not Mentioned","0","Safe Drinking Water",23.0,273.0
205,"2014-01-01","Gujarat","24","Not Mentioned","0","Sanitation",669.0,605.0
206,"2014-01-01","Gujarat","24","Not Mentioned","0","Slum Area Development",5.0,5.0
207,"2014-01-01","Gujarat","24","Not Mentioned","0","Socio-Economic Inequalities",2.0,2.0
208,"2014-01-01","Gujarat","24","Not Mentioned","0","Special Education",22.0,22.0
209,"2014-01-01","Gujarat","24","Not Mentioned","0","Vocational Skills",2.0,2.0
210,"2014-01-01","Gujarat","24","Prayagraj","438","Art And Culture",5.0,5.0
211,"2014-01-01","Gujarat","24","Prayagraj","438","Education",763.0,765.0
212,"2014-01-01","Gujarat","24","Prayagraj","438","Environmental Sustainability",30.0,30.0
213,"2014-01-01","Gujarat","24","Prayagraj","438","Health Care",1005.0,665.0
214,"2014-01-01","Gujarat","24","Prayagraj","438","Poverty, Eradicating Hunger, Malnutrition",1.0,1.0
215,"2014-01-01","Gujarat","24","Prayagraj","438","Rural Development Projects",38.0,41.0
216,"2014-01-01","Gujarat","24","Prayagraj","438","Safe Drinking Water",2.0,2.0
217,"2014-01-01","Gujarat","24","Prayagraj","438","Sanitation",5.0,6.0
218,"2014-01-01","Gujarat","24","Prayagraj","438","Socio-Economic Inequalities",9.0,9.0
219,"2014-01-01","Gujarat","24","Prayagraj","438","Training To Promote Sports",7.0,8.0
220,"2014-01-01","Gujarat","24","Prayagraj","438","Women Empowerment",5.0,6.0
221,"2014-01-01","Gujarat","24","Rajkot","457","Education",0.0,1.0
222,"2014-01-01","Gujarat","24","Surat","459","Animal Welfare",0.0,0.0
223,"2014-01-01","Gujarat","24","Surat","459","Art And Culture",3.0,3.0
224,"2014-01-01","Gujarat","24","Surat","459","Education",698.0,691.0
225,"2014-01-01","Gujarat","24","Surat","459","Health Care",224.0,216.0
226,"2014-01-01","Gujarat","24","Surat","459","Livelihood Enhancement Projects",22.0,19.0
227,"2014-01-01","Gujarat","24","Surat","459","Rural Development Projects",87.0,78.0
228,"2014-01-01","Gujarat","24","Surat","459","Safe Drinking Water",1.0,1.0
229,"2014-01-01","Gujarat","24","Vadodara","461","Animal Welfare",0.0,0.0
230,"2014-01-01","Gujarat","24","Vadodara","461","Art And Culture",6.0,13.0
231,"2014-01-01","Gujarat","24","Vadodara","461","Education",87.0,84.0
232,"2014-01-01","Gujarat","24","Vadodara","461","Health Care",49.0,42.0
233,"2014-01-01","Gujarat","24","Vadodara","461","Poverty, Eradicating Hunger, Malnutrition",134.0,54.0
234,"2014-01-01","Gujarat","24","Vadodara","461","Rural Development Projects",103.0,3.0
235,"2014-01-01","Gujarat","24","Vadodara","461","Safe Drinking Water",8.0,8.0
236,"2014-01-01","Gujarat","24","Vadodara","461","Training To Promote Sports",8.0,8.0
237,"2014-01-01","Gujarat","24","Valsad","462","Education",84.0,84.0
238,"2014-01-01","Gujarat","24","Valsad","462","Livelihood Enhancement Projects",11.0,12.0
239,"2014-01-01","Haryana","6","Faridabad","60","Education",207.0,224.0
240,"2014-01-01","Haryana","6","Faridabad","60","Health Care",82.0,16.0
241,"2014-01-01","Haryana","6","Faridabad","60","Rural Development Projects",44.0,40.0
242,"2014-01-01","Haryana","6","Faridabad","60","Sanitation",200.0,0.0
243,"2014-01-01","Haryana","6","Gurugram","62","Education",158.0,157.0
244,"2014-01-01","Haryana","6","Gurugram","62","Environmental Sustainability",118.0,118.0
245,"2014-01-01","Haryana","6","Gurugram","62","Health Care",4400.0,2470.0
246,"2014-01-01","Haryana","6","Gurugram","62","Not Mentioned",50.0,0.0
247,"2014-01-01","Haryana","6","Gurugram","62","Sanitation",113.0,113.0
248,"2014-01-01","Haryana","6","Jhajjar","64","Rural Development Projects",17.0,17.0
249,"2014-01-01","Haryana","6","Karnal","67","Health Care",6.0,0.0
250,"2014-01-01","Haryana","6","Karnal","67","Poverty, Eradicating Hunger, Malnutrition",6.0,0.0
251,"2014-01-01","Haryana","6","Not Mentioned","0","Art And Culture",1.0,1.0
252,"2014-01-01","Haryana","6","Not Mentioned","0","Education",2281.0,2213.0
253,"2014-01-01","Haryana","6","Not Mentioned","0","Health Care",213.0,201.0
254,"2014-01-01","Haryana","6","Not Mentioned","0","Poverty, Eradicating Hunger, Malnutrition",7.0,7.0
255,"2014-01-01","Haryana","6","Not Mentioned","0","Rural Development Projects",227.0,241.0
256,"2014-01-01","Haryana","6","Not Mentioned","0","Safe Drinking Water",50.0,169.0
257,"2014-01-01","Haryana","6","Not Mentioned","0","Sanitation",850.0,606.0
258,"2014-01-01","Haryana","6","Not Mentioned","0","Training To Promote Sports",0.0,2.0
259,"2014-01-01","Haryana","6","Not Mentioned","0","Vocational Skills",2136.0,1569.0
260,"2014-01-01","Haryana","6","Nuh","604","Vocational Skills",66.0,41.0
261,"2014-01-01","Himachal Pradesh","2","Not Mentioned","0","Education",58.0,50.0
262,"2014-01-01","Himachal Pradesh","2","Not Mentioned","0","Environmental Sustainability",250.0,45.0
263,"2014-01-01","Himachal Pradesh","2","Not Mentioned","0","Health Care",155.0,155.0
264,"2014-01-01","Himachal Pradesh","2","Not Mentioned","0","Not Mentioned",22.0,49.0
265,"2014-01-01","Himachal Pradesh","2","Not Mentioned","0","Sanitation",0.0,0.0
266,"2014-01-01","Himachal Pradesh","2","Not Mentioned","0","Socio-Economic Inequalities",5.0,4.0
267,"2014-01-01","Himachal Pradesh","2","Not Mentioned","0","Training To Promote Sports",10.0,5.0
268,"2014-01-01","Himachal Pradesh","2","Solan","25","Education",45.0,44.0
269,"2014-01-01","Himachal Pradesh","2","Solan","25","Environmental Sustainability",12.0,13.0
270,"2014-01-01","Jammu and Kashmir","1","Not Mentioned","0","Conservation Of Natural Resources",40.0,5.0
271,"2014-01-01","Jammu and Kashmir","1","Not Mentioned","0","Education",104.0,102.0
272,"2014-01-01","Jammu and Kashmir","1","Not Mentioned","0","Environmental Sustainability",52.0,52.0
273,"2014-01-01","Jammu and Kashmir","1","Not Mentioned","0","Health Care",62.0,62.0
274,"2014-01-01","Jammu and Kashmir","1","Not Mentioned","0","Livelihood Enhancement Projects",1.0,3.0
275,"2014-01-01","Jammu and Kashmir","1","Not Mentioned","0","Not Mentioned",214.0,206.0
276,"2014-01-01","Jammu and Kashmir","1","Not Mentioned","0","Poverty, Eradicating Hunger, Malnutrition",169.0,133.0
277,"2014-01-01","Jammu and Kashmir","1","Not Mentioned","0","Prime Minister'S National Relief Fund",120.0,120.0
278,"2014-01-01","Jammu and Kashmir","1","Not Mentioned","0","Rural Development Projects",22.0,16.0
279,"2014-01-01","Jammu and Kashmir","1","Not Mentioned","0","Safe Drinking Water",29.0,29.0
280,"2014-01-01","Jammu and Kashmir","1","Not Mentioned","0","Sanitation",1.0,1.0
281,"2014-01-01","Jammu and Kashmir","1","Not Mentioned","0","Women Empowerment",57.0,57.0
282,"2014-01-01","Jharkhand","20","Bokaro","322","Not Mentioned",0.0,5.0
283,"2014-01-01","Jharkhand","20","Not Mentioned","0","Art And Culture",2.0,2.0
284,"2014-01-01","Jharkhand","20","Not Mentioned","0","Conservation Of Natural Resources",105.0,23.0
285,"2014-01-01","Jharkhand","20","Not Mentioned","0","Education",191.0,102.0
286,"2014-01-01","Jharkhand","20","Not Mentioned","0","Environmental Sustainability",762.0,530.0
287,"2014-01-01","Jharkhand","20","Not Mentioned","0","Gender Equality",5.0,3.0
288,"2014-01-01","Jharkhand","20","Not Mentioned","0","Poverty, Eradicating Hunger, Malnutrition",121.0,97.0
289,"2014-01-01","Jharkhand","20","Not Mentioned","0","Rural Development Projects",9.0,9.0
290,"2014-01-01","Jharkhand","20","Not Mentioned","0","Sanitation",48.0,47.0
291,"2014-01-01","Jharkhand","20","Not Mentioned","0","Training To Promote Sports",7.0,3.0
292,"2014-01-01","Jharkhand","20","Not Mentioned","0","Women Empowerment",18.0,12.0
293,"2014-01-01","Jharkhand","20","Ranchi","339","Education",2.0,4.0
294,"2014-01-01","Karnataka","29","Bagalkote","524","Education",4.0,4.0
295,"2014-01-01","Karnataka","29","Bengaluru Rural","526","Art And Culture",16.0,16.0
296,"2014-01-01","Karnataka","29","Bengaluru Rural","526","Education",79.0,68.0
297,"2014-01-01","Karnataka","29","Bengaluru Rural","526","Environmental Sustainability",3.0,3.0
298,"2014-01-01","Karnataka","29","Bengaluru Rural","526","Health Care",23.0,23.0
299,"2014-01-01","Karnataka","29","Bengaluru Rural","526","Livelihood Enhancement Projects",2.0,2.0
300,"2014-01-01","Karnataka","29","Bengaluru Rural","526","Not Mentioned",9.0,9.0
301,"2014-01-01","Karnataka","29","Bengaluru Rural","526","Rural Development Projects",2.0,2.0
302,"2014-01-01","Karnataka","29","Bengaluru Rural","526","Socio-Economic Inequalities",74.0,82.0
303,"2014-01-01","Karnataka","29","Bengaluru Rural","526","Special Education",3.0,3.0
304,"2014-01-01","Karnataka","29","Bengaluru Rural","526","Vocational Skills",5.0,5.0
305,"2014-01-01","Karnataka","29","Bengaluru Rural","526","Women Empowerment",32.0,32.0
306,"2014-01-01","Karnataka","29","Bengaluru Urban","525","Art And Culture",29.0,29.0
